frame,time_sec,knee_angle_deg,vis_min,pose_detected,knee_angle_interp,knee_angle_smooth
0,0.0,168.8701171875,0.25938379764556885,1,168.8701171875,169.89764
1,0.04170833333333333,169.433837890625,0.2668398916721344,1,169.433837890625,170.74007
2,0.08341666666666667,172.11788940429688,0.2577979564666748,1,172.11788940429688,171.50662
3,0.125125,172.2512969970703,0.25462105870246887,1,172.2512969970703,171.72957
4,0.16683333333333333,174.76699829101562,0.32416588068008423,1,174.76699829101562,172.27179
5,0.20854166666666665,174.2360076904297,0.2927105724811554,1,174.2360076904297,172.77834
6,0.25025,170.4307861328125,0.22440814971923828,1,170.4307861328125,173.25163
7,0.2919583333333333,172.6656494140625,0.19486112892627716,1,172.6656494140625,173.6843
8,0.33366666666666667,172.9796905517578,0.3294471204280853,1,172.9796905517578,173.14265
9,0.37537499999999996,175.43093872070312,0.31045207381248474,1,175.43093872070312,172.61322
10,0.4170833333333333,175.2799530029297,0.31410399079322815,1,175.2799530029297,171.31923
11,0.45879166666666665,170.9755859375,0.2207939326763153,1,170.9755859375,169.35074
12,0.5005,170.52992248535156,0.25914356112480164,1,170.52992248535156,166.37007
13,0.5422083333333333,161.37290954589844,0.116689532995224,1,161.37290954589844,163.29007
14,0.5839166666666666,158.8860321044922,0.12181425094604492,1,158.8860321044922,158.508
15,0.625625,152.11512756347656,0.13775257766246796,1,152.11512756347656,153.3112
16,0.6673333333333333,153.87088012695312,0.13934165239334106,1,153.87088012695312,147.76205
17,0.7090416666666666,141.80545043945312,0.1850002259016037,1,141.80545043945312,142.24648
18,0.7507499999999999,134.5979766845703,0.1997264176607132,1,134.5979766845703,136.25076
19,0.7924583333333333,131.68588256835938,0.22971521317958832,1,131.68588256835938,128.59557
20,0.8341666666666666,122.76395416259766,0.2327105849981308,1,122.76395416259766,120.06499
21,0.875875,116.9159927368164,0.32882440090179443,1,116.9159927368164,112.346085
22,0.9175833333333333,98.52886199951172,0.3386663794517517,1,98.52886199951172,105.68614
23,0.9592916666666667,94.15673065185547,0.375842422246933,1,94.15673065185547,99.687706
24,1.001,87.77308654785156,0.41109222173690796,1,87.77308654785156,94.42827
25,1.0427083333333333,87.97840118408203,0.3703289031982422,1,87.97840118408203,88.53784
26,1.0844166666666666,89.69688415527344,0.42000308632850647,1,89.69688415527344,84.41167
27,1.1261249999999998,85.94792938232422,0.2923843562602997,1,85.94792938232422,80.13778
28,1.1678333333333333,75.68297576904297,0.28875797986984253,1,75.68297576904297,77.15341
29,1.2095416666666665,69.64566802978516,0.2970886528491974,1,69.64566802978516,72.111145
30,1.25125,64.23948669433594,0.330653578042984,1,64.23948669433594,68.84256
31,1.2929583333333332,66.8824691772461,0.33150795102119446,1,66.8824691772461,66.00426
32,1.3346666666666667,52.68255615234375,0.2533866763114929,1,52.68255615234375,66.776886
33,1.376375,66.81680297851562,0.30635741353034973,1,66.81680297851562,68.52291
34,1.4180833333333331,66.0798110961914,0.3420785665512085,1,66.0798110961914,72.55297
35,1.4597916666666666,81.09133911132812,0.27294349670410156,1,81.09133911132812,76.252365
36,1.5014999999999998,81.86788940429688,0.38310128450393677,1,81.86788940429688,82.601685
37,1.5432083333333333,92.4499282836914,0.29087406396865845,1,92.4499282836914,89.50757
38,1.5849166666666665,92.77823638916016,0.3052304983139038,1,92.77823638916016,97.40994
39,1.626625,97.12777709960938,0.32098424434661865,1,97.12777709960938,104.86283
40,1.6683333333333332,115.1579818725586,0.3814857006072998,1,115.1579818725586,113.14665
41,1.7100416666666665,121.3963851928711,0.2993732690811157,1,121.3963851928711,121.66409
42,1.75175,133.26161193847656,0.30626583099365234,1,133.26161193847656,130.47989
43,1.7934583333333332,139.85458374023438,0.2984899580478668,1,139.85458374023438,141.40952
44,1.8351666666666666,152.072021484375,0.2757965922355652,1,152.072021484375,149.08331
45,1.8768749999999998,154.4888916015625,0.11074092239141464,1,154.4888916015625,156.53903
46,1.9185833333333333,173.6351318359375,0.15708290040493011,1,173.6351318359375,162.27512
47,1.9602916666666665,168.87454223632812,0.14082206785678864,1,168.87454223632812,167.56714
48,2.002,173.58633422851562,0.13749617338180542,1,173.58633422851562,170.82036
49,2.043708333333333,173.41421508789062,0.10164736211299896,1,173.41421508789062,173.02277
50,2.0854166666666667,176.8986358642578,0.10180994123220444,1,176.8986358642578,173.1228
51,2.127125,174.8446502685547,0.18439778685569763,1,174.8446502685547,173.30144
52,2.168833333333333,169.90582275390625,0.16507501900196075,1,169.90582275390625,172.69513
53,2.2105416666666664,174.33544921875,0.1873626559972763,1,174.33544921875,171.35799
54,2.2522499999999996,170.12490844726562,0.19382846355438232,1,170.12490844726562,169.13803
55,2.2939583333333333,169.34222412109375,0.1856948435306549,1,169.34222412109375,166.68842
56,2.3356666666666666,164.05416870117188,0.23006460070610046,1,164.05416870117188,160.18854
