frame,time_sec,knee_angle_deg,vis_min,pose_detected,knee_angle_interp,knee_angle_smooth
0,0.0,85.0806655883789,0.7457001209259033,1,85.0806655883789,90.51225
1,0.041666666666666664,89.53244018554688,0.7287617325782776,1,89.53244018554688,93.284294
2,0.08333333333333333,94.95350646972656,0.6810978651046753,1,94.95350646972656,95.632385
3,0.125,108.77713012695312,0.793956458568573,1,108.77713012695312,97.52911
4,0.16666666666666666,104.48493194580078,0.813428521156311,1,104.48493194580078,99.98867
5,0.20833333333333334,101.51727294921875,0.7967575192451477,1,101.51727294921875,101.16023
6,0.25,98.35780334472656,0.8736498951911926,1,98.35780334472656,102.744736
7,0.2916666666666667,102.29753875732422,0.7651717066764832,1,102.29753875732422,103.525925
8,0.3333333333333333,97.73341369628906,0.5696446895599365,1,97.73341369628906,104.0799
9,0.375,106.0450668334961,0.6749063730239868,1,106.0450668334961,105.69769
10,0.4166666666666667,114.24535369873047,0.6909008622169495,1,114.24535369873047,108.587036
11,0.4583333333333333,108.36278533935547,0.5939650535583496,1,108.36278533935547,110.67029
12,0.5,112.84181213378906,0.8138858079910278,1,112.84181213378906,114.04739
13,0.5416666666666666,118.58318328857422,0.7675526738166809,1,118.58318328857422,116.1219
14,0.5833333333333334,116.8803482055664,0.8326160907745361,1,116.8803482055664,118.26699
15,0.625,121.37315368652344,0.6984008550643921,1,121.37315368652344,121.52377
16,0.6666666666666666,120.5666732788086,0.6070242524147034,1,120.5666732788086,124.14331
17,0.7083333333333334,129.26089477539062,0.6666955947875977,1,129.26089477539062,127.08037
18,0.75,131.1603240966797,0.6065437197685242,1,131.1603240966797,130.56744
19,0.7916666666666666,131.1785430908203,0.7618554830551147,1,131.1785430908203,133.7775
20,0.8333333333333334,139.1425323486328,0.908047080039978,1,139.1425323486328,137.36986
21,0.875,141.29000854492188,0.9101580381393433,1,141.29000854492188,140.41081
22,0.9166666666666666,143.84339904785156,0.756169319152832,1,143.84339904785156,143.5043
23,0.9583333333333334,145.71328735351562,0.8025047183036804,1,145.71328735351562,147.6427
24,1.0,150.54754638671875,0.7779367566108704,1,150.54754638671875,151.44876
25,1.0416666666666667,152.8146514892578,0.8313637375831604,1,152.8146514892578,155.05716
26,1.0833333333333333,160.14743041992188,0.7546239495277405,1,160.14743041992188,158.96452
27,1.125,165.78497314453125,0.8083045482635498,1,165.78497314453125,162.40685
28,1.1666666666666667,166.54885864257812,0.7824385166168213,1,166.54885864257812,165.42838
29,1.2083333333333333,171.19479370117188,0.6481548547744751,1,171.19479370117188,168.52301
30,1.25,169.80963134765625,0.6952043771743774,1,169.80963134765625,170.70174
31,1.2916666666666667,171.6981964111328,0.6229045987129211,1,171.6981964111328,172.43456
32,1.3333333333333333,174.47715759277344,0.6800143122673035,1,174.47715759277344,173.50647
33,1.375,175.39852905273438,0.6546941995620728,1,175.39852905273438,173.54146
34,1.4166666666666667,177.91464233398438,0.5319004654884338,1,177.91464233398438,174.60149
35,1.4583333333333333,174.05221557617188,0.6166265606880188,1,174.05221557617188,175.00114
36,1.5,171.43978881835938,0.6865596175193787,1,171.43978881835938,174.53816
37,1.5416666666666667,177.22976684570312,0.685200035572052,1,177.22976684570312,174.34286
38,1.5833333333333333,174.49586486816406,0.7324705123901367,1,174.49586486816406,174.40909
39,1.625,171.23631286621094,0.724401593208313,1,171.23631286621094,174.89345
40,1.6666666666666667,174.03138732910156,0.6608564853668213,1,174.03138732910156,175.16516
41,1.7083333333333333,178.37826538085938,0.7989473342895508,1,178.37826538085938,174.55768
42,1.75,177.4427947998047,0.7482790946960449,1,177.4427947998047,174.47594
43,1.7916666666666667,173.34169006347656,0.706432580947876,1,173.34169006347656,174.4765
44,1.8333333333333333,172.9774169921875,0.754758358001709,1,172.9774169921875,173.7779
45,1.875,173.9235382080078,0.7890036106109619,1,173.9235382080078,173.22049
46,1.9166666666666667,171.2404022216797,0.7841521501541138,1,171.2404022216797,172.99826
47,1.9583333333333333,169.14111328125,0.7573520541191101,1,169.14111328125,172.901
48,2.0,174.47642517089844,0.7928957343101501,1,174.47642517089844,172.97075
49,2.0416666666666665,175.88717651367188,0.6585115194320679,1,175.88717651367188,173.09492
50,2.0833333333333335,172.66098022460938,0.6534585356712341,1,172.66098022460938,173.3735
51,2.125,173.46563720703125,0.5652325749397278,1,173.46563720703125,174.30833
52,2.1666666666666665,174.79273986816406,0.6261374950408936,1,174.79273986816406,173.70998
53,2.2083333333333335,173.19036865234375,0.6450571417808533,1,173.19036865234375,173.11975
54,2.25,175.6850128173828,0.5575547814369202,1,175.6850128173828,173.03546
55,2.2916666666666665,170.28787231445312,0.5582252144813538,1,170.28787231445312,173.37872
56,2.3333333333333335,171.75555419921875,0.6853696703910828,1,171.75555419921875,173.17575
57,2.375,172.0709991455078,0.7145950198173523,1,172.0709991455078,173.21255
58,2.4166666666666665,175.86842346191406,0.6317132711410522,1,175.86842346191406,171.7282
59,2.4583333333333335,173.3719482421875,0.8446874618530273,1,173.3719482421875,171.69339
60,2.5,173.44801330566406,0.813527524471283,1,173.44801330566406,171.30869
61,2.5416666666666665,165.29449462890625,0.7763730883598328,1,165.29449462890625,169.41357
62,2.5833333333333335,170.0442657470703,0.6264368295669556,1,170.0442657470703,166.81226
63,2.625,169.06256103515625,0.7706814408302307,1,169.06256103515625,164.40953
64,2.6666666666666665,158.8052520751953,0.7169221639633179,1,158.8052520751953,161.6913
65,2.7083333333333335,157.6592254638672,0.5963707566261292,1,157.6592254638672,159.5967
